week,season,analyst,position,player,rank
4,2024,Justin Boone,RB,David Montgomery,1
4,2024,Justin Boone,RB,Kyren Williams,2
4,2024,Justin Boone,RB,Saquon Barkley,3
4,2024,Justin Boone,RB,De'Von Achane,4
4,2024,Justin Boone,RB,Christian McCaffrey,5
4,2024,Justin Boone,RB,Breece Hall,6
4,2024,Justin Boone,RB,Tony Pollard,7
4,2024,Justin Boone,RB,Aaron Jones,8
4,2024,Justin Boone,RB,Josh Jacobs,9
4,2024,Justin Boone,RB,Derrick Henry,10
4,2024,Justin Boone,RB,Najee Harris,11
4,2024,Justin Boone,RB,Bijan Robinson,12
4,2024,Justin Boone,RB,Rhamondre Stevenson,13
4,2024,Justin Boone,RB,Jonathan Taylor,14
4,2024,Justin Boone,RB,James Cook,15
4,2024,Justin Boone,RB,Travis Etienne,16
4,2024,Justin Boone,WR,CeeDee Lamb,1
4,2024,Justin Boone,WR,Garrett Wilson,2
4,2024,Justin Boone,WR,DK Metcalf,3
4,2024,Justin Boone,WR,Justin Jefferson,4
4,2024,Justin Boone,WR,Michael Pittman,5
4,2024,Justin Boone,WR,Keenan Allen,6
4,2024,Justin Boone,WR,Davante Adams,7
4,2024,Justin Boone,WR,Drake London,8
4,2024,Justin Boone,WR,DeVonta Smith,9
4,2024,Justin Boone,WR,Stefon Diggs,10
4,2024,Justin Boone,WR,Puka Nacua,11
4,2024,Justin Boone,WR,Chris Olave,12
4,2024,Justin Boone,WR,Ja'Marr Chase,13
4,2024,Justin Boone,WR,Tee Higgins,14
4,2024,Justin Boone,WR,Tyreek Hill,15
4,2024,Justin Boone,WR,Amon-Ra St. Brown,16
4,2024,Justin Boone,TE,Brock Bowers,1
4,2024,Justin Boone,TE,Jake Ferguson,2
4,2024,Justin Boone,TE,Dallas Goedert,3
4,2024,Justin Boone,TE,George Kittle,4
4,2024,Justin Boone,TE,Travis Kelce,5
4,2024,Justin Boone,TE,Mark Andrews,6
4,2024,Justin Boone,TE,Pat Freiermuth,7
4,2024,Justin Boone,TE,Foster Moreau,8
4,2024,Justin Boone,TE,Isaiah Likely,9
4,2024,Justin Boone,TE,Sam LaPorta,10
4,2024,Justin Boone,TE,David Njoku,11
4,2024,Justin Boone,TE,Cole Kmet,12
4,2024,Justin Boone,DST,SF DST,1
4,2024,Justin Boone,DST,DAL DST,2
4,2024,Justin Boone,DST,PIT DST,3
4,2024,Justin Boone,DST,MIA DST,4
4,2024,Justin Boone,DST,PHI DST,5
4,2024,Justin Boone,DST,KC DST,6
4,2024,Justin Boone,DST,BAL DST,7
4,2024,Justin Boone,DST,NE DST,8
4,2024,Justin Boone,DST,BUF DST,9
4,2024,Justin Boone,DST,CLE DST,10
4,2024,Dave Richard,QB,Tua Tagovailoa,1
4,2024,Dave Richard,QB,Brock Purdy,2
4,2024,Dave Richard,QB,Joe Burrow,3
4,2024,Dave Richard,QB,Lamar Jackson,4
4,2024,Dave Richard,QB,Dak Prescott,5
4,2024,Dave Richard,QB,Kyler Murray,6
4,2024,Dave Richard,QB,Justin Herbert,7
4,2024,Dave Richard,QB,Jalen Hurts,8
4,2024,Dave Richard,QB,Anthony Richardson,9
4,2024,Dave Richard,QB,Trevor Lawrence,10
4,2024,Dave Richard,QB,Jordan Love,11
4,2024,Dave Richard,QB,Josh Allen,12
4,2024,Dave Richard,RB,James Cook,1
4,2024,Dave Richard,RB,Breece Hall,2
4,2024,Dave Richard,RB,Kyren Williams,3
4,2024,Dave Richard,RB,Rhamondre Stevenson,4
4,2024,Dave Richard,RB,Najee Harris,5
4,2024,Dave Richard,RB,Christian McCaffrey,6
4,2024,Dave Richard,RB,De'Von Achane,7
4,2024,Dave Richard,RB,Jonathan Taylor,8
4,2024,Dave Richard,RB,David Montgomery,9
4,2024,Dave Richard,RB,Bijan Robinson,10
4,2024,Dave Richard,RB,Tony Pollard,11
4,2024,Dave Richard,RB,Travis Etienne,12
4,2024,Dave Richard,RB,Aaron Jones,13
4,2024,Dave Richard,RB,Derrick Henry,14
4,2024,Dave Richard,RB,Saquon Barkley,15
4,2024,Dave Richard,RB,Josh Jacobs,16
4,2024,Dave Richard,WR,Davante Adams,1
4,2024,Dave Richard,WR,CeeDee Lamb,2
4,2024,Dave Richard,WR,DK Metcalf,3
4,2024,Dave Richard,WR,Michael Pittman,4
4,2024,Dave Richard,WR,Ja'Marr Chase,5
4,2024,Dave Richard,WR,Stefon Diggs,6
4,2024,Dave Richard,WR,Tee Higgins,7
4,2024,Dave Richard,WR,Keenan Allen,8
4,2024,Dave Richard,WR,Tyreek Hill,9
4,2024,Dave Richard,WR,Drake London,10
4,2024,Dave Richard,WR,DeVonta Smith,11
4,2024,Dave Richard,WR,Puka Nacua,12
4,2024,Dave Richard,WR,Amon-Ra St. Brown,13
4,2024,Dave Richard,WR,Chris Olave,14
4,2024,Dave Richard,WR,Garrett Wilson,15
4,2024,Dave Richard,WR,Justin Jefferson,16
4,2024,Dave Richard,TE,Jake Ferguson,1
4,2024,Dave Richard,TE,Foster Moreau,2
4,2024,Dave Richard,TE,Mark Andrews,3
4,2024,Dave Richard,TE,Brock Bowers,4
4,2024,Dave Richard,TE,George Kittle,5
4,2024,Dave Richard,TE,Sam LaPorta,6
4,2024,Dave Richard,TE,Cole Kmet,7
4,2024,Dave Richard,TE,Dallas Goedert,8
4,2024,Dave Richard,TE,Pat Freiermuth,9
4,2024,Dave Richard,TE,David Njoku,10
4,2024,Dave Richard,TE,Isaiah Likely,11
4,2024,Dave Richard,TE,Travis Kelce,12
4,2024,Dave Richard,DST,BAL DST,1
4,2024,Dave Richard,DST,NE DST,2
4,2024,Dave Richard,DST,KC DST,3
4,2024,Dave Richard,DST,DAL DST,4
4,2024,Dave Richard,DST,PIT DST,5
4,2024,Dave Richard,DST,SF DST,6
4,2024,Dave Richard,DST,CLE DST,7
4,2024,Dave Richard,DST,MIA DST,8
4,2024,Dave Richard,DST,PHI DST,9
4,2024,Dave Richard,DST,BUF DST,10
4,2024,Sal Vetri,QB,Brock Purdy,1
4,2024,Sal Vetri,QB,Trevor Lawrence,2
4,2024,Sal Vetri,QB,Jalen Hurts,3
4,2024,Sal Vetri,QB,Tua Tagovailoa,4
4,2024,Sal Vetri,QB,Kyler Murray,5
4,2024,Sal Vetri,QB,Anthony Richardson,6
4,2024,Sal Vetri,QB,Lamar Jackson,7
4,2024,Sal Vetri,QB,Josh Allen,8
4,2024,Sal Vetri,QB,Joe Burrow,9
4,2024,Sal Vetri,QB,Justin Herbert,10
4,2024,Sal Vetri,QB,Dak Prescott,11
4,2024,Sal Vetri,QB,Jordan Love,12
4,2024,Sal Vetri,RB,Bijan Robinson,1
4,2024,Sal Vetri,RB,Josh Jacobs,2
4,2024,Sal Vetri,RB,James Cook,3
4,2024,Sal Vetri,RB,Jonathan Taylor,4
4,2024,Sal Vetri,RB,Tony Pollard,5
4,2024,Sal Vetri,RB,Christian McCaffrey,6
4,2024,Sal Vetri,RB,Breece Hall,7
4,2024,Sal Vetri,RB,Rhamondre Stevenson,8
4,2024,Sal Vetri,RB,David Montgomery,9
4,2024,Sal Vetri,RB,Aaron Jones,10
4,2024,Sal Vetri,RB,Derrick Henry,11
4,2024,Sal Vetri,RB,Travis Etienne,12
4,2024,Sal Vetri,RB,Kyren Williams,13
4,2024,Sal Vetri,RB,Najee Harris,14
4,2024,Sal Vetri,RB,Saquon Barkley,15
4,2024,Sal Vetri,RB,De'Von Achane,16
4,2024,Sal Vetri,WR,Tyreek Hill,1
4,2024,Sal Vetri,WR,Ja'Marr Chase,2
4,2024,Sal Vetri,WR,Davante Adams,3
4,2024,Sal Vetri,WR,Amon-Ra St. Brown,4
4,2024,Sal Vetri,WR,Keenan Allen,5
4,2024,Sal Vetri,WR,DeVonta Smith,6
4,2024,Sal Vetri,WR,Justin Jefferson,7
4,2024,Sal Vetri,WR,Stefon Diggs,8
4,2024,Sal Vetri,WR,Drake London,9
4,2024,Sal Vetri,WR,DK Metcalf,10
4,2024,Sal Vetri,WR,Michael Pittman,11
4,2024,Sal Vetri,WR,Puka Nacua,12
4,2024,Sal Vetri,WR,Garrett Wilson,13
4,2024,Sal Vetri,WR,Tee Higgins,14
4,2024,Sal Vetri,WR,CeeDee Lamb,15
4,2024,Sal Vetri,WR,Chris Olave,16
4,2024,Sal Vetri,TE,Jake Ferguson,1
4,2024,Sal Vetri,TE,Dallas Goedert,2
4,2024,Sal Vetri,TE,Foster Moreau,3
4,2024,Sal Vetri,TE,David Njoku,4
4,2024,Sal Vetri,TE,Cole Kmet,5
4,2024,Sal Vetri,TE,Pat Freiermuth,6
4,2024,Sal Vetri,TE,Sam LaPorta,7
4,2024,Sal Vetri,TE,George Kittle,8
4,2024,Sal Vetri,TE,Isaiah Likely,9
4,2024,Sal Vetri,TE,Mark Andrews,10
4,2024,Sal Vetri,TE,Travis Kelce,11
4,2024,Sal Vetri,TE,Brock Bowers,12
4,2024,Sal Vetri,DST,CLE DST,1
4,2024,Sal Vetri,DST,SF DST,2
4,2024,Sal Vetri,DST,MIA DST,3
4,2024,Sal Vetri,DST,PIT DST,4
4,2024,Sal Vetri,DST,BUF DST,5
4,2024,Sal Vetri,DST,BAL DST,6
4,2024,Sal Vetri,DST,NE DST,7
4,2024,Sal Vetri,DST,KC DST,8
4,2024,Sal Vetri,DST,DAL DST,9
4,2024,Sal Vetri,DST,PHI DST,10
4,2024,Jake Ciely,QB,Joe Burrow,1
4,2024,Jake Ciely,QB,Lamar Jackson,2
4,2024,Jake Ciely,QB,Jordan Love,3
4,2024,Jake Ciely,QB,Brock Purdy,4
4,2024,Jake Ciely,QB,Trevor Lawrence,5
4,2024,Jake Ciely,QB,Justin Herbert,6
4,2024,Jake Ciely,QB,Anthony Richardson,7
4,2024,Jake Ciely,QB,Tua Tagovailoa,8
4,2024,Jake Ciely,QB,Kyler Murray,9
4,2024,Jake Ciely,QB,Josh Allen,10
4,2024,Jake Ciely,QB,Dak Prescott,11
4,2024,Jake Ciely,QB,Jalen Hurts,12
4,2024,Jake Ciely,RB,Najee Harris,1
4,2024,Jake Ciely,RB,Rhamondre Stevenson,2
4,2024,Jake Ciely,RB,De'Von Achane,3
4,2024,Jake Ciely,RB,Jonathan Taylor,4
4,2024,Jake Ciely,RB,Kyren Williams,5
4,2024,Jake Ciely,RB,Derrick Henry,6
4,2024,Jake Ciely,RB,Travis Etienne,7
4,2024,Jake Ciely,RB,Josh Jacobs,8
4,2024,Jake Ciely,RB,Aaron Jones,9
4,2024,Jake Ciely,RB,Bijan Robinson,10
4,2024,Jake Ciely,RB,David Montgomery,11
4,2024,Jake Ciely,RB,Breece Hall,12
4,2024,Jake Ciely,RB,Christian McCaffrey,13
4,2024,Jake Ciely,RB,James Cook,14
4,2024,Jake Ciely,RB,Tony Pollard,15
4,2024,Jake Ciely,RB,Saquon Barkley,16
4,2024,Jake Ciely,WR,Michael Pittman,1
4,2024,Jake Ciely,WR,Tyreek Hill,2
4,2024,Jake Ciely,WR,Keenan Allen,3
4,2024,Jake Ciely,WR,Amon-Ra St. Brown,4
4,2024,Jake Ciely,WR,Davante Adams,5
4,2024,Jake Ciely,WR,Puka Nacua,6
4,2024,Jake Ciely,WR,DK Metcalf,7
4,2024,Jake Ciely,WR,CeeDee Lamb,8
4,2024,Jake Ciely,WR,Tee Higgins,9
4,2024,Jake Ciely,WR,Drake London,10
4,2024,Jake Ciely,WR,Chris Olave,11
4,2024,Jake Ciely,WR,DeVonta Smith,12
4,2024,Jake Ciely,WR,Garrett Wilson,13
4,2024,Jake Ciely,WR,Ja'Marr Chase,14
4,2024,Jake Ciely,WR,Stefon Diggs,15
4,2024,Jake Ciely,WR,Justin Jefferson,16
4,2024,Jake Ciely,TE,Travis Kelce,1
4,2024,Jake Ciely,TE,Dallas Goedert,2
4,2024,Jake Ciely,TE,Jake Ferguson,3
4,2024,Jake Ciely,TE,George Kittle,4
4,2024,Jake Ciely,TE,Mark Andrews,5
4,2024,Jake Ciely,TE,Cole Kmet,6
4,2024,Jake Ciely,TE,David Njoku,7
4,2024,Jake Ciely,TE,Foster Moreau,8
4,2024,Jake Ciely,TE,Brock Bowers,9
4,2024,Jake Ciely,TE,Isaiah Likely,10
4,2024,Jake Ciely,TE,Sam LaPorta,11
4,2024,Jake Ciely,TE,Pat Freiermuth,12
4,2024,Jake Ciely,DST,BAL DST,1
4,2024,Jake Ciely,DST,KC DST,2
4,2024,Jake Ciely,DST,DAL DST,3
4,2024,Jake Ciely,DST,CLE DST,4
4,2024,Jake Ciely,DST,NE DST,5
4,2024,Jake Ciely,DST,PIT DST,6
4,2024,Jake Ciely,DST,BUF DST,7
4,2024,Jake Ciely,DST,MIA DST,8
4,2024,Jake Ciely,DST,SF DST,9
4,2024,Jake Ciely,DST,PHI DST,10
4,2024,Heath Cummings,QB,Jalen Hurts,1
4,2024,Heath Cummings,QB,Brock Purdy,2
4,2024,Heath Cummings,QB,Trevor Lawrence,3
4,2024,Heath Cummings,QB,Joe Burrow,4
4,2024,Heath Cummings,QB,Tua Tagovailoa,5
4,2024,Heath Cummings,QB,Lamar Jackson,6
4,2024,Heath Cummings,QB,Dak Prescott,7
4,2024,Heath Cummings,QB,Josh Allen,8
4,2024,Heath Cummings,QB,Kyler Murray,9
4,2024,Heath Cummings,QB,Justin Herbert,10
4,2024,Heath Cummings,QB,Jordan Love,11
4,2024,Heath Cummings,QB,Anthony Richardson,12
4,2024,Heath Cummings,RB,James Cook,1
4,2024,Heath Cummings,RB,Aaron Jones,2
4,2024,Heath Cummings,RB,Derrick Henry,3
4,2024,Heath Cummings,RB,Christian McCaffrey,4
4,2024,Heath Cummings,RB,Saquon Barkley,5
4,2024,Heath Cummings,RB,Travis Etienne,6
4,2024,Heath Cummings,RB,Breece Hall,7
4,2024,Heath Cummings,RB,Tony Pollard,8
4,2024,Heath Cummings,RB,Najee Harris,9
4,2024,Heath Cummings,RB,Rhamondre Stevenson,10
4,2024,Heath Cummings,RB,David Montgomery,11
4,2024,Heath Cummings,RB,Bijan Robinson,12
4,2024,Heath Cummings,RB,Josh Jacobs,13
4,2024,Heath Cummings,RB,Jonathan Taylor,14
4,2024,Heath Cummings,RB,De'Von Achane,15
4,2024,Heath Cummings,RB,Kyren Williams,16
4,2024,Heath Cummings,WR,Garrett Wilson,1
4,2024,Heath Cummings,WR,Puka Nacua,2
4,2024,Heath Cummings,WR,DeVonta Smith,3
4,2024,Heath Cummings,WR,Keenan Allen,4
4,2024,Heath Cummings,WR,Amon-Ra St. Brown,5
4,2024,Heath Cummings,WR,Tee Higgins,6
4,2024,Heath Cummings,WR,DK Metcalf,7
4,2024,Heath Cummings,WR,Michael Pittman,8
4,2024,Heath Cummings,WR,Tyreek Hill,9
4,2024,Heath Cummings,WR,Drake London,10
4,2024,Heath Cummings,WR,Justin Jefferson,11
4,2024,Heath Cummings,WR,Ja'Marr Chase,12
4,2024,Heath Cummings,WR,Davante Adams,13
4,2024,Heath Cummings,WR,Stefon Diggs,14
4,2024,Heath Cummings,WR,CeeDee Lamb,15
4,2024,Heath Cummings,WR,Chris Olave,16
4,2024,Heath Cummings,TE,Sam LaPorta,1
4,2024,Heath Cummings,TE,Dallas Goedert,2
4,2024,Heath Cummings,TE,Brock Bowers,3
4,2024,Heath Cummings,TE,Jake Ferguson,4
4,2024,Heath Cummings,TE,Isaiah Likely,5
4,2024,Heath Cummings,TE,Foster Moreau,6
4,2024,Heath Cummings,TE,Cole Kmet,7
4,2024,Heath Cummings,TE,George Kittle,8
4,2024,Heath Cummings,TE,Mark Andrews,9
4,2024,Heath Cummings,TE,Travis Kelce,10
4,2024,Heath Cummings,TE,David Njoku,11
4,2024,Heath Cummings,TE,Pat Freiermuth,12
4,2024,Heath Cummings,DST,BAL DST,1
4,2024,Heath Cummings,DST,SF DST,2
4,2024,Heath Cummings,DST,BUF DST,3
4,2024,Heath Cummings,DST,NE DST,4
4,2024,Heath Cummings,DST,PIT DST,5
4,2024,Heath Cummings,DST,KC DST,6
4,2024,Heath Cummings,DST,PHI DST,7
4,2024,Heath Cummings,DST,MIA DST,8
4,2024,Heath Cummings,DST,CLE DST,9
4,2024,Heath Cummings,DST,DAL DST,10
4,2024,Scott Pianowski,QB,Jalen Hurts,1
4,2024,Scott Pianowski,QB,Josh Allen,2
4,2024,Scott Pianowski,QB,Jordan Love,3
4,2024,Scott Pianowski,QB,Joe Burrow,4
4,2024,Scott Pianowski,QB,Dak Prescott,5
4,2024,Scott Pianowski,QB,Lamar Jackson,6
4,2024,Scott Pianowski,QB,Tua Tagovailoa,7
4,2024,Scott Pianowski,QB,Trevor Lawrence,8
4,2024,Scott Pianowski,QB,Anthony Richardson,9
4,2024,Scott Pianowski,QB,Brock Purdy,10
4,2024,Scott Pianowski,QB,Kyler Murray,11
4,2024,Scott Pianowski,QB,Justin Herbert,12
4,2024,Scott Pianowski,RB,Kyren Williams,1
4,2024,Scott Pianowski,RB,Breece Hall,2
4,2024,Scott Pianowski,RB,Josh Jacobs,3
4,2024,Scott Pianowski,RB,Derrick Henry,4
4,2024,Scott Pianowski,RB,Rhamondre Stevenson,5
4,2024,Scott Pianowski,RB,Saquon Barkley,6
4,2024,Scott Pianowski,RB,Bijan Robinson,7
4,2024,Scott Pianowski,RB,De'Von Achane,8
4,2024,Scott Pianowski,RB,James Cook,9
4,2024,Scott Pianowski,RB,Aaron Jones,10
4,2024,Scott Pianowski,RB,David Montgomery,11
4,2024,Scott Pianowski,RB,Christian McCaffrey,12
4,2024,Scott Pianowski,RB,Jonathan Taylor,13
4,2024,Scott Pianowski,RB,Tony Pollard,14
4,2024,Scott Pianowski,RB,Najee Harris,15
4,2024,Scott Pianowski,RB,Travis Etienne,16
4,2024,Scott Pianowski,WR,Drake London,1
4,2024,Scott Pianowski,WR,Ja'Marr Chase,2
4,2024,Scott Pianowski,WR,Tyreek Hill,3
4,2024,Scott Pianowski,WR,Puka Nacua,4
4,2024,Scott Pianowski,WR,Stefon Diggs,5
4,2024,Scott Pianowski,WR,Davante Adams,6
4,2024,Scott Pianowski,WR,DK Metcalf,7
4,2024,Scott Pianowski,WR,Amon-Ra St. Brown,8
4,2024,Scott Pianowski,WR,Tee Higgins,9
4,2024,Scott Pianowski,WR,Justin Jefferson,10
4,2024,Scott Pianowski,WR,CeeDee Lamb,11
4,2024,Scott Pianowski,WR,Chris Olave,12
4,2024,Scott Pianowski,WR,Garrett Wilson,13
4,2024,Scott Pianowski,WR,Keenan Allen,14
4,2024,Scott Pianowski,WR,Michael Pittman,15
4,2024,Scott Pianowski,WR,DeVonta Smith,16
4,2024,Scott Pianowski,TE,David Njoku,1
4,2024,Scott Pianowski,TE,Travis Kelce,2
4,2024,Scott Pianowski,TE,Cole Kmet,3
4,2024,Scott Pianowski,TE,Mark Andrews,4
4,2024,Scott Pianowski,TE,Brock Bowers,5
4,2024,Scott Pianowski,TE,Foster Moreau,6
4,2024,Scott Pianowski,TE,George Kittle,7
4,2024,Scott Pianowski,TE,Sam LaPorta,8
4,2024,Scott Pianowski,TE,Isaiah Likely,9
4,2024,Scott Pianowski,TE,Dallas Goedert,10
4,2024,Scott Pianowski,TE,Jake Ferguson,11
4,2024,Scott Pianowski,TE,Pat Freiermuth,12
4,2024,Scott Pianowski,DST,BUF DST,1
4,2024,Scott Pianowski,DST,SF DST,2
4,2024,Scott Pianowski,DST,BAL DST,3
4,2024,Scott Pianowski,DST,DAL DST,4
4,2024,Scott Pianowski,DST,CLE DST,5
4,2024,Scott Pianowski,DST,PIT DST,6
4,2024,Scott Pianowski,DST,MIA DST,7
4,2024,Scott Pianowski,DST,PHI DST,8
4,2024,Scott Pianowski,DST,KC DST,9
4,2024,Scott Pianowski,DST,NE DST,10
4,2024,Jamey Eisenberg,QB,Jordan Love,1
4,2024,Jamey Eisenberg,QB,Josh Allen,2
4,2024,Jamey Eisenberg,QB,Lamar Jackson,3
4,2024,Jamey Eisenberg,QB,Joe Burrow,4
4,2024,Jamey Eisenberg,QB,Jalen Hurts,5
4,2024,Jamey Eisenberg,QB,Justin Herbert,6
4,2024,Jamey Eisenberg,QB,Anthony Richardson,7
4,2024,Jamey Eisenberg,QB,Kyler Murray,8
4,2024,Jamey Eisenberg,QB,Trevor Lawrence,9
4,2024,Jamey Eisenberg,QB,Tua Tagovailoa,10
4,2024,Jamey Eisenberg,QB,Dak Prescott,11
4,2024,Jamey Eisenberg,QB,Brock Purdy,12
4,2024,Jamey Eisenberg,RB,De'Von Achane,1
4,2024,Jamey Eisenberg,RB,Travis Etienne,2
4,2024,Jamey Eisenberg,RB,Bijan Robinson,3
4,2024,Jamey Eisenberg,RB,David Montgomery,4
4,2024,Jamey Eisenberg,RB,Najee Harris,5
4,2024,Jamey Eisenberg,RB,James Cook,6
4,2024,Jamey Eisenberg,RB,Jonathan Taylor,7
4,2024,Jamey Eisenberg,RB,Kyren Williams,8
4,2024,Jamey Eisenberg,RB,Derrick Henry,9
4,2024,Jamey Eisenberg,RB,Christian McCaffrey,10
4,2024,Jamey Eisenberg,RB,Saquon Barkley,11
4,2024,Jamey Eisenberg,RB,Josh Jacobs,12
4,2024,Jamey Eisenberg,RB,Tony Pollard,13
4,2024,Jamey Eisenberg,RB,Breece Hall,14
4,2024,Jamey Eisenberg,RB,Aaron Jones,15
4,2024,Jamey Eisenberg,RB,Rhamondre Stevenson,16
4,2024,Jamey Eisenberg,WR,Davante Adams,1
4,2024,Jamey Eisenberg,WR,Puka Nacua,2
4,2024,Jamey Eisenberg,WR,CeeDee Lamb,3
4,2024,Jamey Eisenberg,WR,Michael Pittman,4
4,2024,Jamey Eisenberg,WR,Tee Higgins,5
4,2024,Jamey Eisenberg,WR,Stefon Diggs,6
4,2024,Jamey Eisenberg,WR,Tyreek Hill,7
4,2024,Jamey Eisenberg,WR,Ja'Marr Chase,8
4,2024,Jamey Eisenberg,WR,Chris Olave,9
4,2024,Jamey Eisenberg,WR,Amon-Ra St. Brown,10
4,2024,Jamey Eisenberg,WR,Keenan Allen,11
4,2024,Jamey Eisenberg,WR,DK Metcalf,12
4,2024,Jamey Eisenberg,WR,Garrett Wilson,13
4,2024,Jamey Eisenberg,WR,DeVonta Smith,14
4,2024,Jamey Eisenberg,WR,Justin Jefferson,15
4,2024,Jamey Eisenberg,WR,Drake London,16
4,2024,Jamey Eisenberg,TE,Brock Bowers,1
4,2024,Jamey Eisenberg,TE,Sam LaPorta,2
4,2024,Jamey Eisenberg,TE,Pat Freiermuth,3
4,2024,Jamey Eisenberg,TE,Jake Ferguson,4
4,2024,Jamey Eisenberg,TE,Foster Moreau,5
4,2024,Jamey Eisenberg,TE,Cole Kmet,6
4,2024,Jamey Eisenberg,TE,George Kittle,7
4,2024,Jamey Eisenberg,TE,Travis Kelce,8
4,2024,Jamey Eisenberg,TE,Isaiah Likely,9
4,2024,Jamey Eisenberg,TE,Mark Andrews,10
4,2024,Jamey Eisenberg,TE,Dallas Goedert,11
4,2024,Jamey Eisenberg,TE,David Njoku,12
4,2024,Jamey Eisenberg,DST,BUF DST,1
4,2024,Jamey Eisenberg,DST,SF DST,2
4,2024,Jamey Eisenberg,DST,DAL DST,3
4,2024,Jamey Eisenberg,DST,CLE DST,4
4,2024,Jamey Eisenberg,DST,MIA DST,5
4,2024,Jamey Eisenberg,DST,PHI DST,6
4,2024,Jamey Eisenberg,DST,PIT DST,7
4,2024,Jamey Eisenberg,DST,BAL DST,8
4,2024,Jamey Eisenberg,DST,KC DST,9
4,2024,Jamey Eisenberg,DST,NE DST,10
4,2024,Michael Fabiano,QB,Justin Herbert,1
4,2024,Michael Fabiano,QB,Lamar Jackson,2
4,2024,Michael Fabiano,QB,Josh Allen,3
4,2024,Michael Fabiano,QB,Joe Burrow,4
4,2024,Michael Fabiano,QB,Jalen Hurts,5
4,2024,Michael Fabiano,QB,Jordan Love,6
4,2024,Michael Fabiano,QB,Trevor Lawrence,7
4,2024,Michael Fabiano,QB,Brock Purdy,8
4,2024,Michael Fabiano,QB,Anthony Richardson,9
4,2024,Michael Fabiano,QB,Dak Prescott,10
4,2024,Michael Fabiano,QB,Tua Tagovailoa,11
4,2024,Michael Fabiano,QB,Kyler Murray,12
4,2024,Michael Fabiano,RB,Tony Pollard,1
4,2024,Michael Fabiano,RB,Christian McCaffrey,2
4,2024,Michael Fabiano,RB,Breece Hall,3
4,2024,Michael Fabiano,RB,Kyren Williams,4
4,2024,Michael Fabiano,RB,Rhamondre Stevenson,5
4,2024,Michael Fabiano,RB,Bijan Robinson,6
4,2024,Michael Fabiano,RB,Josh Jacobs,7
4,2024,Michael Fabiano,RB,Jonathan Taylor,8
4,2024,Michael Fabiano,RB,Derrick Henry,9
4,2024,Michael Fabiano,RB,Najee Harris,10
4,2024,Michael Fabiano,RB,Travis Etienne,11
4,2024,Michael Fabiano,RB,David Montgomery,12
4,2024,Michael Fabiano,RB,De'Von Achane,13
4,2024,Michael Fabiano,RB,Saquon Barkley,14
4,2024,Michael Fabiano,RB,Aaron Jones,15
4,2024,Michael Fabiano,RB,James Cook,16
4,2024,Michael Fabiano,WR,Davante Adams,1
4,2024,Michael Fabiano,WR,DeVonta Smith,2
4,2024,Michael Fabiano,WR,Keenan Allen,3
4,2024,Michael Fabiano,WR,Drake London,4
4,2024,Michael Fabiano,WR,Michael Pittman,5
4,2024,Michael Fabiano,WR,Ja'Marr Chase,6
4,2024,Michael Fabiano,WR,DK Metcalf,7
4,2024,Michael Fabiano,WR,CeeDee Lamb,8
4,2024,Michael Fabiano,WR,Garrett Wilson,9
4,2024,Michael Fabiano,WR,Tyreek Hill,10
4,2024,Michael Fabiano,WR,Stefon Diggs,11
4,2024,Michael Fabiano,WR,Justin Jefferson,12
4,2024,Michael Fabiano,WR,Puka Nacua,13
4,2024,Michael Fabiano,WR,Amon-Ra St. Brown,14
4,2024,Michael Fabiano,WR,Chris Olave,15
4,2024,Michael Fabiano,WR,Tee Higgins,16
4,2024,Michael Fabiano,TE,George Kittle,1
4,2024,Michael Fabiano,TE,Dallas Goedert,2
4,2024,Michael Fabiano,TE,Travis Kelce,3
4,2024,Michael Fabiano,TE,Brock Bowers,4
4,2024,Michael Fabiano,TE,David Njoku,5
4,2024,Michael Fabiano,TE,Pat Freiermuth,6
4,2024,Michael Fabiano,TE,Sam LaPorta,7
4,2024,Michael Fabiano,TE,Mark Andrews,8
4,2024,Michael Fabiano,TE,Isaiah Likely,9
4,2024,Michael Fabiano,TE,Foster Moreau,10
4,2024,Michael Fabiano,TE,Cole Kmet,11
4,2024,Michael Fabiano,TE,Jake Ferguson,12
4,2024,Michael Fabiano,DST,DAL DST,1
4,2024,Michael Fabiano,DST,BUF DST,2
4,2024,Michael Fabiano,DST,PIT DST,3
4,2024,Michael Fabiano,DST,NE DST,4
4,2024,Michael Fabiano,DST,MIA DST,5
4,2024,Michael Fabiano,DST,CLE DST,6
4,2024,Michael Fabiano,DST,SF DST,7
4,2024,Michael Fabiano,DST,PHI DST,8
4,2024,Michael Fabiano,DST,BAL DST,9
4,2024,Michael Fabiano,DST,KC DST,10
4,2024,Andy Behrens,QB,Trevor Lawrence,1
4,2024,Andy Behrens,QB,Tua Tagovailoa,2
4,2024,Andy Behrens,QB,Kyler Murray,3
4,2024,Andy Behrens,QB,Justin Herbert,4
4,2024,Andy Behrens,QB,Jordan Love,5
4,2024,Andy Behrens,QB,Dak Prescott,6
4,2024,Andy Behrens,QB,Joe Burrow,7
4,2024,Andy Behrens,QB,Brock Purdy,8
4,2024,Andy Behrens,QB,Lamar Jackson,9
4,2024,Andy Behrens,QB,Jalen Hurts,10
4,2024,Andy Behrens,QB,Anthony Richardson,11
4,2024,Andy Behrens,QB,Josh Allen,12
4,2024,Andy Behrens,RB,Bijan Robinson,1
